family,trackinglevel,subtype,targetgrade,ucaspoints,entryscoreupper,entryscorelower,unitsscoreupper,unitsscorelower,ranking
BTEC,"Level 1 & 2",Certificate,"Level 2 DM/Level 2 MM",NULL,NULL,NULL,-1.00,-1.00,5.6
BTEC,"Level 1 & 2",Certificate,"Level 2 MM/Level 2 DM",NULL,NULL,NULL,-1.00,-1.00,5.3
BTEC,"Level 1 & 2",Certificate,"Level 2 MM",NULL,NULL,NULL,150.00,132.00,5.0
BTEC,"Level 1 & 2",Certificate,"Level 2 MM/Level 2 MP",NULL,NULL,NULL,-1.00,-1.00,4.6
BTEC,"Level 1 & 2",Certificate,"Level 2 MP/Level 2 MM",NULL,NULL,NULL,-1.00,-1.00,4.3
BTEC,"Level 1 & 2",Certificate,"Level 2 MP",NULL,NULL,NULL,132.00,114.00,4.0
BTEC,"Level 1 & 2",Certificate,"Level 2 MP/Level 2 PP",NULL,NULL,NULL,-1.00,-1.00,3.6
BTEC,"Level 1 & 2",Certificate,"Level 2 PP/Level 2 MP",NULL,NULL,NULL,-1.00,-1.00,3.3
BTEC,"Level 1 & 2",Certificate,"Level 2 PP",NULL,NULL,NULL,114.00,96.00,3.0
BTEC,"Level 1 & 2",Certificate,"Level 2 PP/Level 1",NULL,NULL,NULL,-1.00,-1.00,2.6
BTEC,"Level 1 & 2",Certificate,"Level 1/Level 2 PP",NULL,NULL,NULL,-1.00,-1.00,2.3
BTEC,"Level 1 & 2",Certificate,"Level 1",NULL,NULL,NULL,96.00,48.00,2.0
BTEC,"Level 1 & 2",Certificate,"Level 1/U",NULL,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 1 & 2",Certificate,"U/Level 1",NULL,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 1 & 2",Certificate,U,NULL,NULL,NULL,48.00,0.00,1.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D*",NULL,NULL,NULL,700.00,372.00,9.0
BTEC,"Level 1 & 2",Diploma,"Level 2 D*D*/Level 2 D*D",NULL,NULL,NULL,-1.00,-1.00,8.6
