id,userid,trackingqualificationid,trackingunitid,award,comments,dateupdated,userdefinedvalue,shortvalue,setbyuserid,updatedbyuserid,dateset
49534,35630,122,236,Distinction,,,,,,,
49533,35630,122,235,Merit,,,,,,,
49532,35630,122,195,Pass,,1372674613,,,,,
49531,35630,122,194,Pass,,,,,,,
49530,24257,122,249,Distinction,,1372349421,,,,,
49529,24257,122,248,Merit,,1372327354,,,,,
49528,24257,122,247,Merit,,1372327361,,,,,
49527,24257,122,246,Merit,,1372327371,,,,,
116219,24257,122,844,Pass,,1372680163,,,,,
92101,42876,485,634,,,,,,,,
92099,42876,485,629,,,,,,,,
92097,42876,485,627,,,,,,,,
92095,42876,485,625,,,,,,,,
92093,42876,485,589,,,,,,,,
106608,22185,632,818,,,,,,,,
106816,22617,423,977,Pass,,1371568756,,,,,
92078,42873,485,639,,,,,,,,
92076,42873,485,637,,,,,,,,
92074,42873,485,635,,,,,,,,
92071,42873,485,629,,,,,,,,
92069,42873,485,627,,,,,,,,
92067,42873,485,625,,,,,,,,
92065,42873,485,589,,,,,,,,
92063,46266,485,638,,,,,,,,
92061,46266,485,636,,,,,,,,
92059,46266,485,634,,,,,,,,
92057,46266,485,629,,,,,,,,
92055,46266,485,627,,,,,,,,
92053,46266,485,625,,,,,,,,
92049,42021,28,163,Pass,,,,,,,
92047,42021,28,161,Pass,,,,,,,
92045,42021,28,159,Pass,,,,,,,
104314,46368,488,289,,,,,,,,
99892,21325,409,153,,,,,,,,
99893,21325,409,154,,,,,,,,
99894,21325,409,155,,,,,,,,
99895,21325,409,156,,,,,,,,
99896,21325,409,227,,,,,,,,
99897,21325,409,310,,,,,,,,
109524,41531,595,554,,,,,,,,
91793,46223,28,163,Distinction,,,,,,,
91791,46223,28,161,Distinction,,,,,,,
91789,46223,28,159,Distinction,,,,,,,
91787,46223,28,74,Distinction,,,,,,,
91785,33231,28,163,Pass,,,,,,,
91783,33231,28,161,Pass,,,,,,,
91781,33231,28,159,Pass,,,,,,,
91779,33231,28,74,Pass,,,,,,,
91776,22063,28,162,Pass,,,,,,,
91774,22063,28,160,Distinction,,,,,,,
